"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism Part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Apple Sample]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Spiking]"	"Term Source REF"	"Term Accession Number"
"Homogenate_G3_Apple1"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group3_1n"	"Apple1"	""	""	"GROUP3"	""	""
"Homogenate_G3_Apple2"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group3_2n"	"Apple2"	""	""	"GROUP3"	""	""
"Homogenate_G3_Apple3"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group3_3n"	"Apple3"	""	""	"GROUP3"	""	""
"Homogenate_G3_Apple4"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group3_4n"	"Apple4"	""	""	"GROUP3"	""	""
"Homogenate_G3_Apple5"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group3_5n"	"Apple5"	""	""	"GROUP3"	""	""
"Homogenate_G3_Apple6"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group3_6n"	"Apple6"	""	""	"GROUP3"	""	""
"Homogenate_G3_Apple7"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group3_7n"	"Apple7"	""	""	"GROUP3"	""	""
"Homogenate_G3_Apple8"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group3_8n"	"Apple8"	""	""	"GROUP3"	""	""
"Homogenate_G3_Apple9"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group3_9n"	"Apple9"	""	""	"GROUP3"	""	""
"Homogenate_G3_Apple10"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group3_10n"	"Apple10"	""	""	"GROUP3"	""	""
"Standard_mix_1"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	""	""	""	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	""	"mix_std1p"	""	""	""	""	""	""
"Standard_mix_2"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	""	""	""	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	""	"mix_std2p"	""	""	""	""	""	""
"Standard_mix_1"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	""	""	""	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	""	"mix_std1n"	""	""	""	""	""	""
"Standard_mix_2"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	""	""	""	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	""	"mix_std2n"	""	""	""	""	""	""
