"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Injection batch]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Extraction method]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Experiment]"	"Term Source REF"	"Term Accession Number"
"20160504_026"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160504_026"	"B2"	""	""	"methanol plus water"	""	""	"treated"	""	""
"20160504_027"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160504_027"	"B2"	""	""	"methanol"	""	""	"treated"	""	""
"20160504_028"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160504_028"	"B2"	""	""	"methanol plus water"	""	""	"treated"	""	""
"20160504_029"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160504_029"	"B2"	""	""	"NA"	""	""	"QC"	""	""
"20160504_031"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160504_031"	"B2"	""	""	"methanol plus water"	""	""	"control"	""	""
"20160504_032"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160504_032"	"B2"	""	""	"methanol"	""	""	"treated"	""	""
"20160504_033"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160504_033"	"B2"	""	""	"methanol plus water"	""	""	"treated"	""	""
"20160504_034"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160504_034"	"B2"	""	""	"methanol"	""	""	"treated"	""	""
"20160504_035"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160504_035"	"B2"	""	""	"NA"	""	""	"QC"	""	""
"20160504_036"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160504_036"	"B2"	""	""	"methanol plus water"	""	""	"treated"	""	""
