"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Remote ischemic conditioning]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Subject]"	"Term Source REF"	"Term Accession Number"
"human plasma, before, subject 2 biological replicate negative"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2_0b_neg"	"Before"	""	""	"B"	""	""	"2"	""	""
"human plasma, before, subject 3 negative"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"3_0a_neg"	"Before"	""	""	"A"	""	""	"3"	""	""
"human plasma, before, subject 3 biological replicate negative"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"3_0b_neg"	"Before"	""	""	"B"	""	""	"3"	""	""
"human plasma, before, subject 4 negative"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"4_0a_neg"	"Before"	""	""	"A"	""	""	"4"	""	""
"human plasma, before, subject 4 biological replicate negative"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"4_0b_neg"	"Before"	""	""	"B"	""	""	"4"	""	""
"human plasma, before, subject 5 negative"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"5_0a_neg"	"Before"	""	""	"A"	""	""	"5"	""	""
"human plasma, before, subject 5 biological replicate negative"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"5_0b_neg"	"Before"	""	""	"B"	""	""	"5"	""	""
"human plasma, before, subject 6 negative"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"6_0a_neg"	"Before"	""	""	"A"	""	""	"6"	""	""
"human plasma, before, subject 6 biological replicate negative"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"6_0b_neg"	"Before"	""	""	"B"	""	""	"6"	""	""
"human plasma, before, subject 7 negative"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7_0a_neg"	"Before"	""	""	"A"	""	""	"7"	""	""
"human plasma, before, subject 7 biological replicate negative"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7_0b_neg"	"Before"	""	""	"B"	""	""	"7"	""	""
"human plasma, before, subject 8 negative"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"8_0a_neg"	"Before"	""	""	"A"	""	""	"8"	""	""
"human plasma, before, subject 8 biological replicate negative"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"8_0b_neg"	"Before"	""	""	"B"	""	""	"8"	""	""
"human plasma, before, subject 9 negative"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"9_0a_neg"	"Before"	""	""	"A"	""	""	"9"	""	""
"human plasma, before, subject 9 biological replicate negative"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"9_0b_neg"	"Before"	""	""	"B"	""	""	"9"	""	""
