"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"
"P6-1-24-P"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAKpmrB6"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"P6-1-24-P"
"P6-2-24-P"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAKpmrB6"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"P6-2-24-P"
"P6-3-24-P"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAKpmrB6"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"P6-3-24-P"
"P6-4-24-P"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAKpmrB6"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"P6-4-24-P"
"P6-5-24-P"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAKpmrB6"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"P6-5-24-P"
"P6_Control_1h_1"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAKpmrB6"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"P6_Control_1h_1"
"P6_Control_1h_2"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAKpmrB6"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"P6_Control_1h_2"
"P6_Control_1h_3"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAKpmrB6"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"P6_Control_1h_3"
"P6_Control_1h_4"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAKpmrB6"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"P6_Control_1h_4"
"P6_PMB8_1h_1"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAKpmrB6"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"P6_PMB8_1h_1"
"P6_PMB8_1h_2"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAKpmrB6"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"P6_PMB8_1h_2"
"P6_PMB8_1h_3"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAKpmrB6"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"P6_PMB8_1h_3"
"P6_PMB8_1h_4"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAKpmrB6"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"P6_PMB8_1h_4"
"Standard 1"	"standard"	"MS"	""	""	""	""	"standard"	"MS"	""	"Sample collection"	"Standard 1"
"Standard 2"	"standard"	"MS"	""	""	""	""	"standard"	"MS"	""	"Sample collection"	"Standard 2"
"Standard 3"	"standard"	"MS"	""	""	""	""	"standard"	"MS"	""	"Sample collection"	"Standard 3"
"Standard 4"	"standard"	"MS"	""	""	""	""	"standard"	"MS"	""	"Sample collection"	"Standard 4"
"Standard 5"	"standard"	"MS"	""	""	""	""	"standard"	"MS"	""	"Sample collection"	"Standard 5"
"Pooled QC1"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	""	""	""	"Quality Control"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D011786"	"Sample collection"	"QC1"
"Pooled QC2"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	""	""	""	"Quality Control"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D011786"	"Sample collection"	"QC2"
"Pooled QC3"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	""	""	""	"Quality Control"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D011786"	"Sample collection"	"QC3"
