"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Time after Inoculation]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"
"DD55-4c_6hDex-24hH2O_1-A,6_01_9097"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E550-DD55-4c_6hDex-24hH2O_1-A,6_01_9097"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"KR51-6a_24hDex-24hH2O_1-A,7_01_10179"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E550-KR51-6a_24hDex-24hH2O_1-A,7_01_10179"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"KR51-6a_24hDex-24hH2O_1-A,7_01_9098"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E550-KR51-6a_24hDex-24hH2O_1-A,7_01_9098"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"KR51-6a_6hDex-24hH2O_1-A,1_01_10173"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E550-KR51-6a_6hDex-24hH2O_1-A,1_01_10173"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"KR51-6a_6hDex-24hH2O_1-A,1_01_9092"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E550-KR51-6a_6hDex-24hH2O_1-A,1_01_9092"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"KR51-6b_24hDex-24hH2O_1-B,1_01_10181"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E550-KR51-6b_24hDex-24hH2O_1-B,1_01_10181"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"KR51-6b_24hDex-24hH2O_1-B,1_01_9100"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E550-KR51-6b_24hDex-24hH2O_1-B,1_01_9100"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"KR51-6b_6hDex-24hH2O_1-A,3_01_10175"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E550-KR51-6b_6hDex-24hH2O_1-A,3_01_10175"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"KR51-6b_6hDex-24hH2O_1-A,3_01_9094"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E550-KR51-6b_6hDex-24hH2O_1-A,3_01_9094"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"KR51-6c_24hDex-24hH2O_1-B,3_01_10183"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E550-KR51-6c_24hDex-24hH2O_1-B,3_01_10183"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
