"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[sampling time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[tissue type]"	"Term Source REF"	"Term Accession Number"
"WB_ASWAT_06_03_12_POS_07"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_07"	"Arntl-/-"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_08"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_08"	"Arntl-/-"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_09"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_09"	"WT"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_10"	"WT"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_11"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_11"	"WT"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_12"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_12"	"WT"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_13"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_13"	"Arntl-/-"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_17"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_17"	"Arntl-/-"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_18"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_18"	"Arntl-/-"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
"WB_ASWAT_06_03_12_POS_19"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_ASWAT_06_03_12_POS_19"	"Arntl-/-"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"white adipose tissue"	""	""
