"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[EthAc percentage]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sample type]"	"Term Source REF"	"Term Accession Number"
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E025_B_071"	"25"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E050_B_072"	"50"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E020_C_073"	"20"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E030_C_074"	"30"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E080_C_076"	"80"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E100_A_077"	"100"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E050_C_079"	"50"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E025_C_080"	"25"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Spiked leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Bc0_Lu0_C02"	"10"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Spiked cassave extract"	""	""
"Spiked leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Bc1_Lu1_C03"	"10"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Spiked cassave extract"	""	""
