"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Age]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Gender]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"
"callipyge_plasma_150"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_150"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Female"	""	""	"Normal"	""	""
"callipyge_plasma_151"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_151"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Female"	""	""	"Normal"	""	""
"callipyge_plasma_154"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_154"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Female"	""	""	"Callipyge"	""	""
"callipyge_plasma_157"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_157"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Female"	""	""	"Normal"	""	""
"callipyge_plasma_158"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_158"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Female"	""	""	"Normal"	""	""
"callipyge_plasma_159"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_159"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Female"	""	""	"Normal"	""	""
"callipyge_plasma_161"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_161"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Female"	""	""	"Normal"	""	""
"callipyge_plasma_164"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_164"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Female"	""	""	"Normal"	""	""
"callipyge_plasma_165"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_165"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Female"	""	""	"Normal"	""	""
"callipyge_plasma_167"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_167"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Female"	""	""	"Callipyge"	""	""
