"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Time Point]"	"Term Source REF"	"Term Accession Number"
"2006379"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2006379"	"TimePoint 3"	""	""
"2006384"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2006384"	"Daily Meta"	""	""
"2006389"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2006389"	"Daily Meta"	""	""
"2008328"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2008328"	"Daily Meta"	""	""
"2008333"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2008333"	"Daily Meta"	""	""
"2008338"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2008338"	"Daily Meta"	""	""
"2008343"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2008343"	"Daily Meta"	""	""
"2010120"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2010120"	"Daily Meta"	""	""
"2010125"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2010125"	"Daily Meta"	""	""
"2010130"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2010130"	"Daily Meta"	""	""
"2010135"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2010135"	"Daily Meta"	""	""
"2010674"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2010674"	"Daily Meta"	""	""
"2010679"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2010679"	"Daily Meta"	""	""
"2010684"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2010684"	"Daily Meta"	""	""
"2010689"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2010689"	"Daily Meta"	""	""
"2012627"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2012627"	"Daily Meta"	""	""
"2012632"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2012632"	"Daily Meta"	""	""
"2012637"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2012637"	"Daily Meta"	""	""
"2012642"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2012642"	"Daily Meta"	""	""
"2013467"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2013467"	"Daily Meta"	""	""
"2013472"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2013472"	"Daily Meta"	""	""
"2013477"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2013477"	"Daily Meta"	""	""
"2013482"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2013482"	"Daily Meta"	""	""
"2014504"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2014504"	"Daily Meta"	""	""
"2014509"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2014509"	"Daily Meta"	""	""
"2014514"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2014514"	"Daily Meta"	""	""
"2014519"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2014519"	"Daily Meta"	""	""
"2016509"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2016509"	"Daily Meta"	""	""
"2016514"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2016514"	"Daily Meta"	""	""
"2016519"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2016519"	"Daily Meta"	""	""
"2016524"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2016524"	"Daily Meta"	""	""
"2018655"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2018655"	"Daily Meta"	""	""
"2018660"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2018660"	"Daily Meta"	""	""
"2018665"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2018665"	"Daily Meta"	""	""
"2018670"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2018670"	"Daily Meta"	""	""
"2018931"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2018931"	"Daily Meta"	""	""
"2018936"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2018936"	"Daily Meta"	""	""
"2018941"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2018941"	"Daily Meta"	""	""
"2018946"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2018946"	"Daily Meta"	""	""
"2019927"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2019927"	"Daily Meta"	""	""
