"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[MeJA treatment ]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Experimental Group]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA200uMA3b"	"Treated"	""	""	"200.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA200uMB1b"	"Treated"	""	""	"200.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA200uMB2b"	"Treated"	""	""	"200.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA200uMB3b"	"Treated"	""	""	"200.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA200uMC1b"	"Treated"	""	""	"200.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA200uMC2b"	"Treated"	""	""	"200.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA200uMC3b"	"Treated"	""	""	"200.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA400uMA1b"	"Treated"	""	""	"400.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA400uMA2b"	"Treated"	""	""	"400.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA400uMA3b"	"Treated"	""	""	"400.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA400uMB1b"	"Treated"	""	""	"400.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA400uMB2b"	"Treated"	""	""	"400.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA400uMB3b"	"Treated"	""	""	"400.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA400uMC1b"	"Treated"	""	""	"400.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA400uMC2b"	"Treated"	""	""	"400.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA400uMC3b"	"Treated"	""	""	"400.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MEJACONTL01"	"Non-treated"	""	""	"0.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MEJACONTL02"	"Non-treated"	""	""	"0.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MEJACONTL03"	"Non-treated"	""	""	"0.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MEJACONTL04"	"Non-treated"	""	""	"0.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MEJACONTL05"	"Non-treated"	""	""	"0.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MEJACONTL06"	"Non-treated"	""	""	"0.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
