"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Adipose tissue]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Connective tissue]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Glandular tissue]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Stroma tissue]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Tumour]"	"Term Source REF"	"Term Accession Number"
"BRB13"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB13S"	"1"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"BRB13"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB13W"	"1"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"BRB14"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB14D"	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""
"BRB14"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB14E"	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""
"BRB14"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB14N"	"1"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"BRB14"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB14S"	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""
"BRB14"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB14W"	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""
"BRB15"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB15D"	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""
"BRB15"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB15E"	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""
"BRB15"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB15N"	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""
"BRB15"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB15S"	"1"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"BRB15"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB15W"	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""
"BRB16"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB16D"	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""
"BRB16"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB16E"	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""
"BRB16"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB16N"	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""
"BRB16"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB16S"	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""
