"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Country of origin]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Population ID]"	"Term Source REF"	"Term Accession Number"	"Factor Value[MFFGC accession no.]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Type]"	"Term Source REF"	"Term Accession Number"
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0501_2"	"PG0501"	""	""	"2"	""	""	"UK"	""	""	"Aberdart"	""	""	"13487"	""	""	"UK high sugar cultivar"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0502_2"	"PG0502"	""	""	"2"	""	""	"UK"	""	""	"Aberdart"	""	""	"13487"	""	""	"UK high sugar cultivar"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0506_2"	"PG0506"	""	""	"2"	""	""	"Netherlands"	""	""	"Amigo"	""	""	"5799"	""	""	"European cultivar"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0508_2"	"PG0508"	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0510_2"	"PG0510"	""	""	"2"	""	""	"Netherlands"	""	""	"Amigo"	""	""	"5799"	""	""	"European cultivar"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0521_2"	"PG0521"	""	""	"2"	""	""	"UK"	""	""	"Aurora"	""	""	"5816"	""	""	"UK high sugar cultivar"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0522_2"	"PG0522"	""	""	"2"	""	""	"UK"	""	""	"Aurora"	""	""	"5816"	""	""	"UK high sugar cultivar"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0543_2"	"PG0543"	""	""	"2"	""	""	"Netherlands"	""	""	"Bardonna"	""	""	"5817"	""	""	"European cultivar"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0549_2"	"PG0549"	""	""	"2"	""	""	"Netherlands"	""	""	"Bardonna"	""	""	"5817"	""	""	"European cultivar"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0579_2"	"PG0579"	""	""	"2"	""	""	"NZ"	""	""	"Ceres Kingston"	""	""	"11756"	""	""	"NZ cultivar"	""	""
